"Line","Variance","From","To","Speed Average"
1,0,"8733","8742",29.687264922842136
1,0,"8742","8292",39.2914601039755
1,0,"8292","8282",43.64018231282688
1,0,"8282","8272",31.61176219152695
1,0,"8272","8012",27.682495954625253
1,0,"8012","8022",36.16190083280172
1,0,"8022","8032",28.511507603791074
1,0,"8032","8042",30.668364031549782
1,0,"8042","8052",57.260834006482646
1,0,"8052","8062",25.48807808574295
1,0,"8062","8072",41.58165157446517
1,0,"8072","8082",38.41460923380543
1,0,"8082","8092",33.713842558376705
1,0,"8092","8102",33.23584246588648
1,0,"8102","8112",37.02858662643771
1,0,"8112","8122",74.00134620744063
1,0,"8122","8132",41.172894003652594
1,0,"8132","8142",40.7742498528056
1,0,"8142","8152",34.66070950733773
1,0,"8152","8161",43.98263642425099
1,1,"8161","8151",49.33960417118478
1,1,"8151","8141",33.110061851769686
1,1,"8141","8131",53.44154282118863
1,1,"8131","8121",40.34307737862955
1,1,"8121","8111",77.6581098052482
1,1,"8111","8101",35.93344885207366
1,1,"8101","8091",31.20929340218615
1,1,"8091","8081",52.32527786266771
1,1,"8081","8071",42.906876335273274
1,1,"8071","8061",44.239194366693866
1,1,"8061","8051",24.272405458555117
1,1,"8051","8041",42.102097390757415
1,1,"8041","8031",30.27729779721739
1,1,"8031","8021",28.912777332446606
1,1,"8021","8011",59.32695831281781
1,1,"8011","8271",27.109593211778943
1,1,"8271","8281",32.29096284377778
1,1,"8281","8291",60.559953523461935
1,1,"8291","8741",39.37557366524427
1,1,"8741","8731",36.40340847853683
2,0,"8764","8754",39.56650516776587
2,0,"8754","8744",26.233527933192498
2,0,"8744","8382",31.110442516318916
2,0,"8382","8372",29.083047429671506
2,0,"8372","8362",34.2688324885162
2,0,"8362","8352",33.85701527461867
2,0,"8352","8342",28.797883694308286
2,0,"8342","8332",26.336321700359605
2,0,"8332","8322",29.834679215605423
2,0,"8322","8312",33.595006726274804
2,0,"8312","8302",26.603198864082064
2,0,"8302","8402",33.95780628652632
2,0,"8402","8412",31.20277896603932
2,0,"8412","8422",32.88294041793492
2,0,"8422","8432",32.11430816142781
2,0,"8432","8442",32.58618514803768
2,0,"8442","8462",41.61974007222159
2,0,"8462","8472",35.26809045186922
2,1,"8471","8461",33.716062046756434
2,1,"8461","8441",42.1655245281629
2,1,"8441","8431",32.805256225434114
2,1,"8431","8421",32.236213076728994
2,1,"8421","8411",32.55541316475878
2,1,"8411","8401",30.71757047737161
