route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2,1,"GARE DE L'OUEST - STOCKEL",,1,,C4008F,FFFFFF
4,2,"SIMONIS - ELISABETH",,1,,F57000,FFFFFF
5,3,"ESPLANADE - CHURCHILL",,0,,B5BA05,000000
10,4,"GARE DU NORD - STALLE (P)",,0,,F25482,000000
1,5,"ERASME - HERRMANN-DEBROUX",,1,,E6B012,FFFFFF
3,6,"ROI BAUDOUIN - ELISABETH",,1,,0078AD,FFFFFF
6,7,"VANDERKINDERE - HEYSEL",,0,,ECE354,000000
11,8,"LOUISE - ROODEBEEK",,0,,0098D4,FFFFFF
12,9,"SIMONIS - ARBRE BALLON",,0,,CD5599,FFFFFF
18,12,"BRUSSELS AIRPORT - BRUSSELS CITY",,3,,4C8B33,000000
20,13,"ETANGS NOIRS - UZ-VUB",,3,,91BEE7,000000
21,14,"HEYSEL - GARE DU NORD",,3,,F29DC3,000000
22,17,"BEAULIEU - HEILIGENBORRE",,3,,E43C2E,000000
13,19,"GROOT-BIJGAARDEN - DE WAND",,0,,DE3B21,FFFFFF
23,20,"HUNDERENVELD - GARE DU NORD",,3,,F3C300,000000
19,21,"MAES - LUXEMBOURG",,3,,FFDC01,000000
25,25,"BOONDAEL GARE - ROGIER",,0,,991F36,FFFFFF
93,27,"GARE DU MIDI - PLEIADES",,3,,9EBFE3,000000
27,27,"LUXEMBOURG - PLEIADES",,3,,91BEE7,000000
28,28,"BRABANCONNE - KONKEL",,3,,E43C2E,000000
29,29,"DE BROUCKERE - HOF TEN BERG",,3,,ED7807,000000
76,32,"DA VINCI - DROGENBOS CHATEAU",,0,,F7E017,000000
32,33,"DANSAERT - LOUISE",,3,,F29DC3,000000
34,34,"PORTE DE NAMUR - SAINTE-ANNE",,3,,F3C300,000000
35,36,"SCHUMAN - KONKEL",,3,,91BEE7,000000
37,37,"ALBERT - GARE DE LINKEBEEK",,3,,306196,000000
39,38,"GARE CENTRALE - HEROS",,3,,A67CB0,000000
41,39,"MONTGOMERY - BAN-EIK",,0,,DE3B21,FFFFFF
43,41,"HEROS - TRANSVAAL",,3,,91BEE7,000000
45,42,"VIADUC E40 - ROODEBEEK",,3,,4C8B33,000000
36,43,"OBSERVATOIRE - VIVIER D'OIE",,3,,9B6018,000000
