"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"77";113302189237399008;"07:03:00";"07:03:00";"1638B";1;0;1
"77";113302189237399008;"07:04:08";"07:04:08";"1601";2;0;0
"77";113302189237399008;"07:05:00";"07:05:00";"2424";3;0;0
"77";113302189237399008;"07:06:59";"07:06:59";"1616";4;0;0
"77";113302189237399008;"07:07:27";"07:07:27";"1625";5;0;0
"77";113302189237399008;"07:08:30";"07:08:30";"1375";6;0;0
"77";113302189237399008;"07:09:16";"07:09:16";"1377";7;0;0
"77";113302189237399008;"07:10:05";"07:10:05";"1380";8;0;0
"77";113302189237399008;"07:10:46";"07:10:46";"9169";9;0;0
"77";113302189237399008;"07:12:00";"07:12:00";"7501";10;1;0
"77";113302190237399008;"17:34:00";"17:34:00";"7501";1;0;0
"77";113302190237399008;"17:35:42";"17:35:42";"9561";2;0;0
"77";113302190237399008;"17:36:31";"17:36:31";"1381";3;0;0
"77";113302190237399008;"17:37:44";"17:37:44";"1387";4;0;0
"77";113302190237399008;"17:39:30";"17:39:30";"1635";5;0;0
"77";113302190237399008;"17:41:09";"17:41:09";"1659";6;0;0
"77";113302190237399008;"17:41:51";"17:41:51";"1660B";7;0;0
"77";113302190237399008;"17:44:00";"17:44:00";"2425";8;0;0
"77";113302190237399008;"17:45:17";"17:45:17";"1673";9;0;0
"77";113302190237399008;"17:47:00";"17:47:00";"1638B";10;1;0
"77";113302191237399008;"17:40:00";"17:40:00";"1638B";1;0;1
"77";113302191237399008;"17:42:15";"17:42:15";"1601";2;0;0
"77";113302191237399008;"17:44:00";"17:44:00";"2424";3;0;0
"77";113302191237399008;"17:46:16";"17:46:16";"1616";4;0;0
"77";113302191237399008;"17:46:48";"17:46:48";"1625";5;0;0
"77";113302191237399008;"17:48:00";"17:48:00";"1375";6;0;0
"77";113302191237399008;"17:48:52";"17:48:52";"1377";7;0;0
"77";113302191237399008;"17:49:49";"17:49:49";"1380";8;0;0
"77";113302191237399008;"17:50:35";"17:50:35";"9169";9;0;0
"77";113302191237399008;"17:52:00";"17:52:00";"7501";10;1;0
"77";113302192237399008;"17:52:00";"17:52:00";"1638B";1;0;1
"77";113302192237399008;"17:54:15";"17:54:15";"1601";2;0;0
"77";113302192237399008;"17:56:00";"17:56:00";"2424";3;0;0
"77";113302192237399008;"17:58:16";"17:58:16";"1616";4;0;0
"77";113302192237399008;"17:58:48";"17:58:48";"1625";5;0;0
"77";113302192237399008;"18:00:00";"18:00:00";"1375";6;0;0
"77";113302192237399008;"18:00:52";"18:00:52";"1377";7;0;0
"77";113302192237399008;"18:01:49";"18:01:49";"1380";8;0;0
"77";113302192237399008;"18:02:35";"18:02:35";"9169";9;0;0
"77";113302192237399008;"18:04:00";"18:04:00";"7501";10;1;0
