"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"M1";113643490238752496;"05:15:00";"05:15:00";"7832";1;0;0
"M1";113643490238752496;"05:18:00";"05:18:00";"2913";2;0;0
"M1";113643490238752496;"05:18:52";"05:18:52";"1639";3;0;0
"M1";113643490238752496;"05:20:17";"05:20:17";"1640B";4;0;0
"M1";113643490238752496;"05:23:00";"05:23:00";"1382";5;0;0
"M1";113643491238752496;"05:25:00";"05:25:00";"7832";1;0;0
"M1";113643491238752496;"05:28:00";"05:28:00";"2913";2;0;0
"M1";113643491238752496;"05:28:52";"05:28:52";"1639";3;0;0
"M1";113643491238752496;"05:30:17";"05:30:17";"1640B";4;0;0
"M1";113643491238752496;"05:33:00";"05:33:00";"1382";5;0;0
"M1";113643492238752496;"05:35:00";"05:35:00";"7832";1;0;0
"M1";113643492238752496;"05:38:00";"05:38:00";"2913";2;0;0
"M1";113643492238752496;"05:38:52";"05:38:52";"1639";3;0;0
"M1";113643492238752496;"05:40:17";"05:40:17";"1640B";4;0;0
"M1";113643492238752496;"05:43:00";"05:43:00";"1382";5;0;0
"M1";113643493238752496;"05:45:00";"05:45:00";"7832";1;0;0
"M1";113643493238752496;"05:48:00";"05:48:00";"2913";2;0;0
"M1";113643493238752496;"05:48:52";"05:48:52";"1639";3;0;0
"M1";113643493238752496;"05:50:17";"05:50:17";"1640B";4;0;0
"M1";113643493238752496;"05:53:00";"05:53:00";"1382";5;0;0
"M1";113643494238752496;"05:55:00";"05:55:00";"7832";1;0;0
"M1";113643494238752496;"05:58:00";"05:58:00";"2913";2;0;0
"M1";113643494238752496;"05:58:52";"05:58:52";"1639";3;0;0
"M1";113643494238752496;"06:00:17";"06:00:17";"1640B";4;0;0
"M1";113643494238752496;"06:03:00";"06:03:00";"1382";5;0;0
"M1";113643495238752496;"06:05:00";"06:05:00";"7832";1;0;0
"M1";113643495238752496;"06:08:00";"06:08:00";"2913";2;0;0
"M1";113643495238752496;"06:08:52";"06:08:52";"1639";3;0;0
"M1";113643495238752496;"06:10:17";"06:10:17";"1640B";4;0;0
"M1";113643495238752496;"06:13:00";"06:13:00";"1382";5;0;0
"M1";113643496238752496;"06:15:00";"06:15:00";"7832";1;0;0
"M1";113643496238752496;"06:18:00";"06:18:00";"2913";2;0;0
"M1";113643496238752496;"06:18:52";"06:18:52";"1639";3;0;0
"M1";113643496238752496;"06:20:17";"06:20:17";"1640B";4;0;0
"M1";113643496238752496;"06:23:00";"06:23:00";"1382";5;0;0
"M1";113643497238752496;"06:25:00";"06:25:00";"7832";1;0;0
"M1";113643497238752496;"06:28:00";"06:28:00";"2913";2;0;0
"M1";113643497238752496;"06:28:52";"06:28:52";"1639";3;0;0
"M1";113643497238752496;"06:30:17";"06:30:17";"1640B";4;0;0
"M1";113643497238752496;"06:33:00";"06:33:00";"1382";5;0;0
"M1";113643498238752496;"06:35:00";"06:35:00";"7832";1;0;0
"M1";113643498238752496;"06:38:00";"06:38:00";"2913";2;0;0
"M1";113643498238752496;"06:38:52";"06:38:52";"1639";3;0;0
"M1";113643498238752496;"06:40:17";"06:40:17";"1640B";4;0;0
"M1";113643498238752496;"06:43:00";"06:43:00";"1382";5;0;0
"M1";113643499238752496;"06:45:00";"06:45:00";"7832";1;0;0
"M1";113643499238752496;"06:48:00";"06:48:00";"2913";2;0;0
"M1";113643499238752496;"06:48:52";"06:48:52";"1639";3;0;0
"M1";113643499238752496;"06:50:17";"06:50:17";"1640B";4;0;0
"M1";113643499238752496;"06:53:00";"06:53:00";"1382";5;0;0
"M1";113643500238752496;"06:55:00";"06:55:00";"7832";1;0;0
"M1";113643500238752496;"06:58:00";"06:58:00";"2913";2;0;0
"M1";113643500238752496;"06:58:52";"06:58:52";"1639";3;0;0
"M1";113643500238752496;"07:00:17";"07:00:17";"1640B";4;0;0
"M1";113643500238752496;"07:03:00";"07:03:00";"1382";5;0;0
"M1";113643501238752496;"07:05:00";"07:05:00";"7832";1;0;0
"M1";113643501238752496;"07:08:00";"07:08:00";"2913";2;0;0
"M1";113643501238752496;"07:08:52";"07:08:52";"1639";3;0;0
"M1";113643501238752496;"07:10:17";"07:10:17";"1640B";4;0;0
"M1";113643501238752496;"07:13:00";"07:13:00";"1382";5;0;0
"M1";113643502238752496;"07:13:00";"07:13:00";"7832";1;0;0
"M1";113643502238752496;"07:16:00";"07:16:00";"2913";2;0;0
