"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"N11";113683285238895504;"26:55:00";"26:55:00";"6445";1;0;0
"N11";113683285238895504;"26:56:20";"26:56:20";"2301";2;0;0
"N11";113683285238895504;"26:57:00";"26:57:00";"2595";3;0;0
"N11";113683285238895504;"26:58:00";"26:58:00";"2303";4;0;0
"N11";113683285238895504;"26:59:00";"26:59:00";"2212";5;0;0
"N11";113683285238895504;"27:01:00";"27:01:00";"2578";6;0;0
"N11";113683285238895504;"27:03:24";"27:03:24";"1063";7;0;0
"N11";113683285238895504;"27:05:44";"27:05:44";"1376B";8;0;0
"N11";113683285238895504;"27:07:00";"27:07:00";"1128";9;0;0
"N11";113683285238895504;"27:07:49";"27:07:49";"6354B";10;0;0
"N11";113683285238895504;"27:09:51";"27:09:51";"1734";11;0;0
"N11";113683285238895504;"27:13:00";"27:13:00";"3624B";12;0;0
"N11";113683285238895504;"27:13:51";"27:13:51";"5017";13;0;0
"N11";113683285238895504;"27:14:51";"27:14:51";"5018";14;0;0
"N11";113683285238895504;"27:16:00";"27:16:00";"6428";15;0;0
"N11";113683285238895504;"27:16:57";"27:16:57";"3625B";16;0;0
"N11";113683285238895504;"27:18:41";"27:18:41";"2950";17;0;0
"N11";113683285238895504;"27:20:00";"27:20:00";"1220";18;0;0
"N11";113683285238895504;"27:20:55";"27:20:55";"5810";19;0;0
"N11";113683285238895504;"27:21:44";"27:21:44";"5811";20;0;0
"N11";113683285238895504;"27:22:56";"27:22:56";"5812";21;0;0
"N11";113683285238895504;"27:23:50";"27:23:50";"5813";22;0;0
"N11";113683285238895504;"27:24:34";"27:24:34";"5814";23;0;0
"N11";113683285238895504;"27:26:08";"27:26:08";"5815";24;0;0
"N11";113683285238895504;"27:27:00";"27:27:00";"5816B";25;0;0
"N11";113683285238895504;"27:28:13";"27:28:13";"1926B";26;0;0
"N11";113683285238895504;"27:29:56";"27:29:56";"2165";27;0;0
"N11";113683285238895504;"27:31:00";"27:31:00";"5817";28;0;0
"N11";113683285238895504;"27:31:50";"27:31:50";"1929";29;0;0
"N11";113683285238895504;"27:33:08";"27:33:08";"1937";30;0;0
"N11";113683285238895504;"27:34:05";"27:34:05";"1931";31;0;0
"N11";113683285238895504;"27:35:09";"27:35:09";"1932";32;0;0
"N11";113683285238895504;"27:35:50";"27:35:50";"1933B";33;0;0
"N11";113683285238895504;"27:36:48";"27:36:48";"1939";34;0;0
"N11";113683285238895504;"27:37:51";"27:37:51";"1935";35;0;0
"N11";113683285238895504;"27:38:31";"27:38:31";"1936";36;0;0
"N11";113683285238895504;"27:39:37";"27:39:37";"1944";37;0;0
"N11";113683285238895504;"27:41:00";"27:41:00";"1938";38;1;0
