"route_short_name";"trip_id";"direction_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"41";113197742237008000;0;"05:33:00";"05:33:00";"2046";1;0;0
"41";113197742237008000;0;"05:34:01";"05:34:01";"1723B";2;0;0
"41";113197742237008000;0;"05:35:11";"05:35:11";"1724";3;0;0
"41";113197742237008000;0;"05:36:00";"05:36:00";"1725";4;1;0
"41";113197743237008000;1;"05:41:00";"05:41:00";"1725";1;0;1
"41";113197743237008000;1;"05:41:38";"05:41:38";"1752";2;0;0
"41";113197743237008000;1;"05:42:17";"05:42:17";"1753";3;0;0
"41";113197743237008000;1;"05:43:00";"05:43:00";"1754";4;0;0
"41";113197743237008000;1;"05:44:04";"05:44:04";"6468";5;0;0
"41";113197743237008000;1;"05:44:40";"05:44:40";"4407";6;0;0
"41";113197743237008000;1;"05:45:51";"05:45:51";"4452";7;0;0
"41";113197743237008000;1;"05:46:30";"05:46:30";"4449";8;0;0
"41";113197743237008000;1;"05:47:00";"05:47:00";"4454";9;0;0
"41";113197743237008000;1;"05:48:07";"05:48:07";"4455";10;0;0
"41";113197743237008000;1;"05:49:01";"05:49:01";"4456";11;0;0
"41";113197743237008000;1;"05:50:00";"05:50:00";"4358";12;0;0
"41";113197743237008000;1;"05:51:00";"05:51:00";"2079";13;0;0
"41";113197743237008000;1;"05:52:08";"05:52:08";"2107";14;0;0
"41";113197743237008000;1;"05:52:58";"05:52:58";"2016";15;0;0
"41";113197743237008000;1;"05:53:55";"05:53:55";"2018";16;0;0
"41";113197743237008000;1;"05:55:00";"05:55:00";"5451";17;0;0
"41";113197743237008000;1;"05:55:39";"05:55:39";"5459";18;0;0
"41";113197743237008000;1;"05:58:32";"05:58:32";"5458";19;0;0
"41";113197743237008000;1;"05:59:00";"05:59:00";"6439";20;0;0
"41";113197743237008000;1;"05:59:52";"05:59:52";"2762";21;0;0
"41";113197743237008000;1;"06:01:39";"06:01:39";"2763";22;0;0
