"route_short_name";"trip_id";"direction_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"M1";113643490238752496;1;"05:15:00";"05:15:00";"7832";1;0;0
"M1";113643490238752496;1;"05:18:00";"05:18:00";"2913";2;0;0
"M1";113643490238752496;1;"05:18:52";"05:18:52";"1639";3;0;0
"M1";113643490238752496;1;"05:20:17";"05:20:17";"1640B";4;0;0
"M1";113643490238752496;1;"05:23:00";"05:23:00";"1382";5;0;0
"M1";113643491238752496;1;"05:25:00";"05:25:00";"7832";1;0;0
"M1";113643491238752496;1;"05:28:00";"05:28:00";"2913";2;0;0
"M1";113643491238752496;1;"05:28:52";"05:28:52";"1639";3;0;0
"M1";113643491238752496;1;"05:30:17";"05:30:17";"1640B";4;0;0
"M1";113643491238752496;1;"05:33:00";"05:33:00";"1382";5;0;0
"M1";113643492238752496;1;"05:35:00";"05:35:00";"7832";1;0;0
"M1";113643492238752496;1;"05:38:00";"05:38:00";"2913";2;0;0
"M1";113643492238752496;1;"05:38:52";"05:38:52";"1639";3;0;0
"M1";113643492238752496;1;"05:40:17";"05:40:17";"1640B";4;0;0
"M1";113643492238752496;1;"05:43:00";"05:43:00";"1382";5;0;0
"M1";113643493238752496;1;"05:45:00";"05:45:00";"7832";1;0;0
"M1";113643493238752496;1;"05:48:00";"05:48:00";"2913";2;0;0
"M1";113643493238752496;1;"05:48:52";"05:48:52";"1639";3;0;0
"M1";113643493238752496;1;"05:50:17";"05:50:17";"1640B";4;0;0
"M1";113643493238752496;1;"05:53:00";"05:53:00";"1382";5;0;0
"M1";113643494238752496;1;"05:55:00";"05:55:00";"7832";1;0;0
"M1";113643494238752496;1;"05:58:00";"05:58:00";"2913";2;0;0
"M1";113643494238752496;1;"05:58:52";"05:58:52";"1639";3;0;0
"M1";113643494238752496;1;"06:00:17";"06:00:17";"1640B";4;0;0
"M1";113643494238752496;1;"06:03:00";"06:03:00";"1382";5;0;0
"M1";113643495238752496;1;"06:05:00";"06:05:00";"7832";1;0;0
"M1";113643495238752496;1;"06:08:00";"06:08:00";"2913";2;0;0
"M1";113643495238752496;1;"06:08:52";"06:08:52";"1639";3;0;0
"M1";113643495238752496;1;"06:10:17";"06:10:17";"1640B";4;0;0
"M1";113643495238752496;1;"06:13:00";"06:13:00";"1382";5;0;0
"M1";113643496238752496;1;"06:15:00";"06:15:00";"7832";1;0;0
"M1";113643496238752496;1;"06:18:00";"06:18:00";"2913";2;0;0
"M1";113643496238752496;1;"06:18:52";"06:18:52";"1639";3;0;0
"M1";113643496238752496;1;"06:20:17";"06:20:17";"1640B";4;0;0
"M1";113643496238752496;1;"06:23:00";"06:23:00";"1382";5;0;0
"M1";113643497238752496;1;"06:25:00";"06:25:00";"7832";1;0;0
"M1";113643497238752496;1;"06:28:00";"06:28:00";"2913";2;0;0
"M1";113643497238752496;1;"06:28:52";"06:28:52";"1639";3;0;0
"M1";113643497238752496;1;"06:30:17";"06:30:17";"1640B";4;0;0
"M1";113643497238752496;1;"06:33:00";"06:33:00";"1382";5;0;0
"M1";113643498238752496;1;"06:35:00";"06:35:00";"7832";1;0;0
"M1";113643498238752496;1;"06:38:00";"06:38:00";"2913";2;0;0
"M1";113643498238752496;1;"06:38:52";"06:38:52";"1639";3;0;0
"M1";113643498238752496;1;"06:40:17";"06:40:17";"1640B";4;0;0
"M1";113643498238752496;1;"06:43:00";"06:43:00";"1382";5;0;0
"M1";113643499238752496;1;"06:45:00";"06:45:00";"7832";1;0;0
"M1";113643499238752496;1;"06:48:00";"06:48:00";"2913";2;0;0
"M1";113643499238752496;1;"06:48:52";"06:48:52";"1639";3;0;0
"M1";113643499238752496;1;"06:50:17";"06:50:17";"1640B";4;0;0
"M1";113643499238752496;1;"06:53:00";"06:53:00";"1382";5;0;0
"M1";113643500238752496;1;"06:55:00";"06:55:00";"7832";1;0;0
"M1";113643500238752496;1;"06:58:00";"06:58:00";"2913";2;0;0
"M1";113643500238752496;1;"06:58:52";"06:58:52";"1639";3;0;0
"M1";113643500238752496;1;"07:00:17";"07:00:17";"1640B";4;0;0
"M1";113643500238752496;1;"07:03:00";"07:03:00";"1382";5;0;0
"M1";113643501238752496;1;"07:05:00";"07:05:00";"7832";1;0;0
"M1";113643501238752496;1;"07:08:00";"07:08:00";"2913";2;0;0
"M1";113643501238752496;1;"07:08:52";"07:08:52";"1639";3;0;0
"M1";113643501238752496;1;"07:10:17";"07:10:17";"1640B";4;0;0
"M1";113643501238752496;1;"07:13:00";"07:13:00";"1382";5;0;0
"M1";113643502238752496;1;"07:13:00";"07:13:00";"7832";1;0;0
"M1";113643502238752496;1;"07:16:00";"07:16:00";"2913";2;0;0
"M1";113643502238752496;1;"07:16:52";"07:16:52";"1639";3;0;0
"M1";113643502238752496;1;"07:18:17";"07:18:17";"1640B";4;0;0
"M1";113643502238752496;1;"07:21:00";"07:21:00";"1382";5;0;0
"M1";113643503238752496;1;"07:20:00";"07:20:00";"7832";1;0;0
"M1";113643503238752496;1;"07:23:00";"07:23:00";"2913";2;0;0
"M1";113643503238752496;1;"07:23:52";"07:23:52";"1639";3;0;0
"M1";113643503238752496;1;"07:25:17";"07:25:17";"1640B";4;0;0
"M1";113643503238752496;1;"07:28:00";"07:28:00";"1382";5;0;0
"M1";113643504238752496;1;"07:27:00";"07:27:00";"7832";1;0;0
"M1";113643504238752496;1;"07:30:00";"07:30:00";"2913";2;0;0
"M1";113643504238752496;1;"07:30:52";"07:30:52";"1639";3;0;0
"M1";113643504238752496;1;"07:32:17";"07:32:17";"1640B";4;0;0
"M1";113643504238752496;1;"07:35:00";"07:35:00";"1382";5;0;0
"M1";113643505238752496;1;"07:35:00";"07:35:00";"7832";1;0;0
"M1";113643505238752496;1;"07:38:00";"07:38:00";"2913";2;0;0
"M1";113643505238752496;1;"07:38:52";"07:38:52";"1639";3;0;0
"M1";113643505238752496;1;"07:40:17";"07:40:17";"1640B";4;0;0
"M1";113643505238752496;1;"07:43:00";"07:43:00";"1382";5;0;0
"M1";113643506238752496;1;"07:42:00";"07:42:00";"7832";1;0;0
"M1";113643506238752496;1;"07:45:00";"07:45:00";"2913";2;0;0
"M1";113643506238752496;1;"07:45:52";"07:45:52";"1639";3;0;0
"M1";113643506238752496;1;"07:47:17";"07:47:17";"1640B";4;0;0
"M1";113643506238752496;1;"07:50:00";"07:50:00";"1382";5;0;0
"M1";113643507238752496;1;"07:50:00";"07:50:00";"7832";1;0;0
"M1";113643507238752496;1;"07:53:00";"07:53:00";"2913";2;0;0
"M1";113643507238752496;1;"07:53:52";"07:53:52";"1639";3;0;0
"M1";113643507238752496;1;"07:55:17";"07:55:17";"1640B";4;0;0
"M1";113643507238752496;1;"07:58:00";"07:58:00";"1382";5;0;0
"M1";113643508238752496;1;"07:57:00";"07:57:00";"7832";1;0;0
"M1";113643508238752496;1;"08:00:00";"08:00:00";"2913";2;0;0
"M1";113643508238752496;1;"08:01:02";"08:01:02";"1639";3;0;0
"M1";113643508238752496;1;"08:02:44";"08:02:44";"1640B";4;0;0
"M1";113643508238752496;1;"08:06:00";"08:06:00";"1382";5;0;0
"M1";113643509238752496;1;"08:06:00";"08:06:00";"7832";1;0;0
"M1";113643509238752496;1;"08:10:00";"08:10:00";"2913";2;0;0
"M1";113643509238752496;1;"08:11:02";"08:11:02";"1639";3;0;0
"M1";113643509238752496;1;"08:12:44";"08:12:44";"1640B";4;0;0
"M1";113643509238752496;1;"08:16:00";"08:16:00";"1382";5;0;0
"M1";113643510238752496;1;"20:03:00";"20:03:00";"7832";1;0;0
"M1";113643510238752496;1;"20:06:00";"20:06:00";"2913";2;0;0
"M1";113643510238752496;1;"20:06:52";"20:06:52";"1639";3;0;0
"M1";113643510238752496;1;"20:08:17";"20:08:17";"1640B";4;0;0
"M1";113643510238752496;1;"20:11:00";"20:11:00";"1382";5;0;0
"M1";113643511238752496;1;"20:08:00";"20:08:00";"7832";1;0;0
"M1";113643511238752496;1;"20:11:00";"20:11:00";"2913";2;0;0
"M1";113643511238752496;1;"20:11:52";"20:11:52";"1639";3;0;0
"M1";113643511238752496;1;"20:13:17";"20:13:17";"1640B";4;0;0
"M1";113643511238752496;1;"20:16:00";"20:16:00";"1382";5;0;0
"M1";113643512238752496;1;"20:13:00";"20:13:00";"7832";1;0;0
"M1";113643512238752496;1;"20:16:00";"20:16:00";"2913";2;0;0
"M1";113643512238752496;1;"20:16:52";"20:16:52";"1639";3;0;0
"M1";113643512238752496;1;"20:18:17";"20:18:17";"1640B";4;0;0
"M1";113643512238752496;1;"20:21:00";"20:21:00";"1382";5;0;0
"M1";113643513238752496;1;"20:18:00";"20:18:00";"7832";1;0;0
"M1";113643513238752496;1;"20:21:00";"20:21:00";"2913";2;0;0
"M1";113643513238752496;1;"20:21:52";"20:21:52";"1639";3;0;0
"M1";113643513238752496;1;"20:23:17";"20:23:17";"1640B";4;0;0
"M1";113643513238752496;1;"20:26:00";"20:26:00";"1382";5;0;0
"M1";113643514238752496;1;"20:23:00";"20:23:00";"7832";1;0;0
"M1";113643514238752496;1;"20:26:00";"20:26:00";"2913";2;0;0
"M1";113643514238752496;1;"20:26:52";"20:26:52";"1639";3;0;0
"M1";113643514238752496;1;"20:28:17";"20:28:17";"1640B";4;0;0
"M1";113643514238752496;1;"20:31:00";"20:31:00";"1382";5;0;0
"M1";113643515238752496;1;"20:28:00";"20:28:00";"7832";1;0;0
"M1";113643515238752496;1;"20:31:00";"20:31:00";"2913";2;0;0
"M1";113643515238752496;1;"20:31:52";"20:31:52";"1639";3;0;0
"M1";113643515238752496;1;"20:33:17";"20:33:17";"1640B";4;0;0
"M1";113643515238752496;1;"20:36:00";"20:36:00";"1382";5;0;0
"M1";113643516238752496;1;"20:33:00";"20:33:00";"7832";1;0;0
"M1";113643516238752496;1;"20:36:00";"20:36:00";"2913";2;0;0
"M1";113643516238752496;1;"20:36:52";"20:36:52";"1639";3;0;0
"M1";113643516238752496;1;"20:38:17";"20:38:17";"1640B";4;0;0
"M1";113643516238752496;1;"20:41:00";"20:41:00";"1382";5;0;0
"M1";113643517238752496;1;"20:38:00";"20:38:00";"7832";1;0;0
"M1";113643517238752496;1;"20:41:00";"20:41:00";"2913";2;0;0
"M1";113643517238752496;1;"20:41:52";"20:41:52";"1639";3;0;0
"M1";113643517238752496;1;"20:43:17";"20:43:17";"1640B";4;0;0
"M1";113643517238752496;1;"20:46:00";"20:46:00";"1382";5;0;0
"M1";113643518238752496;1;"20:43:00";"20:43:00";"7832";1;0;0
"M1";113643518238752496;1;"20:46:00";"20:46:00";"2913";2;0;0
"M1";113643518238752496;1;"20:46:52";"20:46:52";"1639";3;0;0
"M1";113643518238752496;1;"20:48:17";"20:48:17";"1640B";4;0;0
"M1";113643518238752496;1;"20:51:00";"20:51:00";"1382";5;0;0
"M1";113643519238752496;1;"20:48:00";"20:48:00";"7832";1;0;0
"M1";113643519238752496;1;"20:51:00";"20:51:00";"2913";2;0;0
"M1";113643519238752496;1;"20:51:52";"20:51:52";"1639";3;0;0
"M1";113643519238752496;1;"20:53:17";"20:53:17";"1640B";4;0;0
"M1";113643519238752496;1;"20:56:00";"20:56:00";"1382";5;0;0
"M1";113643520238752496;1;"20:53:00";"20:53:00";"7832";1;0;0
"M1";113643520238752496;1;"20:56:00";"20:56:00";"2913";2;0;0
"M1";113643520238752496;1;"20:56:52";"20:56:52";"1639";3;0;0
"M1";113643520238752496;1;"20:58:17";"20:58:17";"1640B";4;0;0
"M1";113643520238752496;1;"21:01:00";"21:01:00";"1382";5;0;0
"M1";113643521238752496;1;"20:58:00";"20:58:00";"7832";1;0;0
"M1";113643521238752496;1;"21:01:00";"21:01:00";"2913";2;0;0
"M1";113643521238752496;1;"21:01:52";"21:01:52";"1639";3;0;0
"M1";113643521238752496;1;"21:03:17";"21:03:17";"1640B";4;0;0
"M1";113643521238752496;1;"21:06:00";"21:06:00";"1382";5;0;0
"M1";113643522238752496;1;"21:03:00";"21:03:00";"7832";1;0;0
"M1";113643522238752496;1;"21:06:00";"21:06:00";"2913";2;0;0
"M1";113643522238752496;1;"21:06:52";"21:06:52";"1639";3;0;0
"M1";113643522238752496;1;"21:08:17";"21:08:17";"1640B";4;0;0
"M1";113643522238752496;1;"21:11:00";"21:11:00";"1382";5;0;0
"M1";113643523238752496;1;"21:08:00";"21:08:00";"7832";1;0;0
"M1";113643523238752496;1;"21:11:00";"21:11:00";"2913";2;0;0
"M1";113643523238752496;1;"21:11:52";"21:11:52";"1639";3;0;0
"M1";113643523238752496;1;"21:13:17";"21:13:17";"1640B";4;0;0
"M1";113643523238752496;1;"21:16:00";"21:16:00";"1382";5;0;0
"M1";113643524238752496;1;"21:13:00";"21:13:00";"7832";1;0;0
"M1";113643524238752496;1;"21:16:00";"21:16:00";"2913";2;0;0
"M1";113643524238752496;1;"21:16:52";"21:16:52";"1639";3;0;0
"M1";113643524238752496;1;"21:18:17";"21:18:17";"1640B";4;0;0
"M1";113643524238752496;1;"21:21:00";"21:21:00";"1382";5;0;0
"M1";113643525238752496;1;"21:18:00";"21:18:00";"7832";1;0;0
"M1";113643525238752496;1;"21:21:00";"21:21:00";"2913";2;0;0
"M1";113643525238752496;1;"21:21:52";"21:21:52";"1639";3;0;0
"M1";113643525238752496;1;"21:23:17";"21:23:17";"1640B";4;0;0
"M1";113643525238752496;1;"21:26:00";"21:26:00";"1382";5;0;0
"M1";113643526238752496;1;"21:23:00";"21:23:00";"7832";1;0;0
"M1";113643526238752496;1;"21:26:00";"21:26:00";"2913";2;0;0
"M1";113643526238752496;1;"21:26:52";"21:26:52";"1639";3;0;0
"M1";113643526238752496;1;"21:28:17";"21:28:17";"1640B";4;0;0
"M1";113643526238752496;1;"21:31:00";"21:31:00";"1382";5;0;0
"M1";113643527238752496;1;"21:28:00";"21:28:00";"7832";1;0;0
"M1";113643527238752496;1;"21:31:00";"21:31:00";"2913";2;0;0
"M1";113643527238752496;1;"21:31:52";"21:31:52";"1639";3;0;0
"M1";113643527238752496;1;"21:33:17";"21:33:17";"1640B";4;0;0
"M1";113643527238752496;1;"21:36:00";"21:36:00";"1382";5;0;0
"M1";113643528238752496;1;"21:33:00";"21:33:00";"7832";1;0;0
"M1";113643528238752496;1;"21:36:00";"21:36:00";"2913";2;0;0
"M1";113643528238752496;1;"21:36:52";"21:36:52";"1639";3;0;0
"M1";113643528238752496;1;"21:38:17";"21:38:17";"1640B";4;0;0
"M1";113643528238752496;1;"21:41:00";"21:41:00";"1382";5;0;0
"M1";113643529238752496;1;"21:38:00";"21:38:00";"7832";1;0;0
"M1";113643529238752496;1;"21:41:00";"21:41:00";"2913";2;0;0
"M1";113643529238752496;1;"21:41:52";"21:41:52";"1639";3;0;0
"M1";113643529238752496;1;"21:43:17";"21:43:17";"1640B";4;0;0
"M1";113643529238752496;1;"21:46:00";"21:46:00";"1382";5;0;0
"M1";113643530238752496;1;"21:43:00";"21:43:00";"7832";1;0;0
"M1";113643530238752496;1;"21:46:00";"21:46:00";"2913";2;0;0
"M1";113643530238752496;1;"21:46:52";"21:46:52";"1639";3;0;0
"M1";113643530238752496;1;"21:48:17";"21:48:17";"1640B";4;0;0
"M1";113643530238752496;1;"21:51:00";"21:51:00";"1382";5;0;0
"M1";113643531238752496;1;"21:48:00";"21:48:00";"7832";1;0;0
"M1";113643531238752496;1;"21:51:00";"21:51:00";"2913";2;0;0
"M1";113643531238752496;1;"21:51:52";"21:51:52";"1639";3;0;0
"M1";113643531238752496;1;"21:53:17";"21:53:17";"1640B";4;0;0
"M1";113643531238752496;1;"21:56:00";"21:56:00";"1382";5;0;0
"M1";113643532238752496;1;"21:53:00";"21:53:00";"7832";1;0;0
"M1";113643532238752496;1;"21:56:00";"21:56:00";"2913";2;0;0
"M1";113643532238752496;1;"21:56:52";"21:56:52";"1639";3;0;0
"M1";113643532238752496;1;"21:58:17";"21:58:17";"1640B";4;0;0
"M1";113643532238752496;1;"22:01:00";"22:01:00";"1382";5;0;0
"M1";113643533238752496;1;"21:58:00";"21:58:00";"7832";1;0;0
"M1";113643533238752496;1;"22:01:00";"22:01:00";"2913";2;0;0
"M1";113643533238752496;1;"22:01:52";"22:01:52";"1639";3;0;0
"M1";113643533238752496;1;"22:03:17";"22:03:17";"1640B";4;0;0
"M1";113643533238752496;1;"22:06:00";"22:06:00";"1382";5;0;0
"M1";113643534238752496;1;"22:03:00";"22:03:00";"7832";1;0;0
"M1";113643534238752496;1;"22:06:00";"22:06:00";"2913";2;0;0
"M1";113643534238752496;1;"22:06:52";"22:06:52";"1639";3;0;0
"M1";113643534238752496;1;"22:08:17";"22:08:17";"1640B";4;0;0
"M1";113643534238752496;1;"22:11:00";"22:11:00";"1382";5;0;0
"M1";113643535238752496;1;"22:08:00";"22:08:00";"7832";1;0;0
"M1";113643535238752496;1;"22:11:00";"22:11:00";"2913";2;0;0
"M1";113643535238752496;1;"22:11:52";"22:11:52";"1639";3;0;0
"M1";113643535238752496;1;"22:13:17";"22:13:17";"1640B";4;0;0
"M1";113643535238752496;1;"22:16:00";"22:16:00";"1382";5;0;0
"M1";113643536238752496;1;"22:13:00";"22:13:00";"7832";1;0;0
"M1";113643536238752496;1;"22:16:00";"22:16:00";"2913";2;0;0
"M1";113643536238752496;1;"22:16:52";"22:16:52";"1639";3;0;0
"M1";113643536238752496;1;"22:18:17";"22:18:17";"1640B";4;0;0
"M1";113643536238752496;1;"22:21:00";"22:21:00";"1382";5;0;0
"M1";113643537238752496;1;"22:18:00";"22:18:00";"7832";1;0;0
"M1";113643537238752496;1;"22:21:00";"22:21:00";"2913";2;0;0
"M1";113643537238752496;1;"22:21:52";"22:21:52";"1639";3;0;0
"M1";113643537238752496;1;"22:23:17";"22:23:17";"1640B";4;0;0
"M1";113643537238752496;1;"22:26:00";"22:26:00";"1382";5;0;0
