"route_short_name";"trip_id";"direction_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"N05";113358792237602000;0;"00:42:00";"00:42:00";"6447";1;0;0
"N05";113358792237602000;0;"00:43:15";"00:43:15";"2301";2;0;0
"N05";113358792237602000;0;"00:44:00";"00:44:00";"2595";3;0;0
"N05";113358792237602000;0;"00:45:00";"00:45:00";"2303";4;0;0
"N05";113358792237602000;0;"00:46:00";"00:46:00";"2212";5;0;0
"N05";113358792237602000;0;"00:48:00";"00:48:00";"2578";6;0;0
"N05";113358792237602000;0;"00:50:04";"00:50:04";"1063";7;0;0
"N05";113358792237602000;0;"00:52:05";"00:52:05";"1376B";8;0;0
"N05";113358792237602000;0;"00:53:11";"00:53:11";"1128";9;0;0
"N05";113358792237602000;0;"00:54:14";"00:54:14";"1129";10;0;0
"N05";113358792237602000;0;"00:55:38";"00:55:38";"6355";11;0;0
"N05";113358792237602000;0;"00:57:00";"00:57:00";"6356";12;0;0
"N05";113358792237602000;0;"00:57:36";"00:57:36";"3353";13;0;0
"N05";113358792237602000;0;"00:58:33";"00:58:33";"3354";14;0;0
"N05";113358792237602000;0;"00:59:00";"00:59:00";"1508";15;0;0
"N05";113358792237602000;0;"01:00:08";"01:00:08";"1509";16;0;0
"N05";113358792237602000;0;"01:00:55";"01:00:55";"1510";17;0;0
"N05";113358792237602000;0;"01:03:00";"01:03:00";"1273";18;0;0
"N05";113358792237602000;0;"01:04:04";"01:04:04";"1402B";19;0;0
"N05";113358792237602000;0;"01:05:27";"01:05:27";"1419";20;0;0
"N05";113358792237602000;0;"01:06:02";"01:06:02";"1403";21;0;0
"N05";113358792237602000;0;"01:07:18";"01:07:18";"3251";22;0;0
"N05";113358792237602000;0;"01:08:11";"01:08:11";"1516";23;0;0
"N05";113358792237602000;0;"01:09:00";"01:09:00";"6451";24;0;0
"N05";113358792237602000;0;"01:10:18";"01:10:18";"1518";25;0;0
"N05";113358792237602000;0;"01:11:32";"01:11:32";"1519";26;0;0
"N05";113358792237602000;0;"01:12:27";"01:12:27";"1520";27;0;0
"N05";113358792237602000;0;"01:13:00";"01:13:00";"1521";28;0;0
"N05";113358792237602000;0;"01:14:00";"01:14:00";"1522";29;0;0
"N05";113358792237602000;0;"01:14:55";"01:14:55";"3899";30;0;0
"N05";113358792237602000;0;"01:16:02";"01:16:02";"1529";31;0;0
"N05";113358792237602000;0;"01:17:00";"01:17:00";"1386";32;0;0
"N05";113358792237602000;0;"01:18:56";"01:18:56";"1584";33;0;0
"N05";113358792237602000;0;"01:20:11";"01:20:11";"1585";34;0;0
"N05";113358792237602000;0;"01:22:09";"01:22:09";"1586";35;0;0
"N05";113358792237602000;0;"01:23:00";"01:23:00";"1587";36;1;0
"N05";113358793237602000;0;"01:02:00";"01:02:00";"6447";1;0;0
"N05";113358793237602000;0;"01:03:15";"01:03:15";"2301";2;0;0
"N05";113358793237602000;0;"01:04:00";"01:04:00";"2595";3;0;0
"N05";113358793237602000;0;"01:05:00";"01:05:00";"2303";4;0;0
"N05";113358793237602000;0;"01:06:00";"01:06:00";"2212";5;0;0
"N05";113358793237602000;0;"01:08:00";"01:08:00";"2578";6;0;0
"N05";113358793237602000;0;"01:10:04";"01:10:04";"1063";7;0;0
"N05";113358793237602000;0;"01:12:05";"01:12:05";"1376B";8;0;0
"N05";113358793237602000;0;"01:13:11";"01:13:11";"1128";9;0;0
"N05";113358793237602000;0;"01:14:14";"01:14:14";"1129";10;0;0
"N05";113358793237602000;0;"01:15:38";"01:15:38";"6355";11;0;0
"N05";113358793237602000;0;"01:17:00";"01:17:00";"6356";12;0;0
"N05";113358793237602000;0;"01:17:36";"01:17:36";"3353";13;0;0
"N05";113358793237602000;0;"01:18:33";"01:18:33";"3354";14;0;0
"N05";113358793237602000;0;"01:19:00";"01:19:00";"1508";15;0;0
"N05";113358793237602000;0;"01:20:08";"01:20:08";"1509";16;0;0
"N05";113358793237602000;0;"01:20:55";"01:20:55";"1510";17;0;0
"N05";113358793237602000;0;"01:23:00";"01:23:00";"1273";18;0;0
"N05";113358793237602000;0;"01:24:04";"01:24:04";"1402B";19;0;0
"N05";113358793237602000;0;"01:25:27";"01:25:27";"1419";20;0;0
"N05";113358793237602000;0;"01:26:02";"01:26:02";"1403";21;0;0
"N05";113358793237602000;0;"01:27:18";"01:27:18";"3251";22;0;0
"N05";113358793237602000;0;"01:28:11";"01:28:11";"1516";23;0;0
"N05";113358793237602000;0;"01:29:00";"01:29:00";"6451";24;0;0
"N05";113358793237602000;0;"01:30:18";"01:30:18";"1518";25;0;0
"N05";113358793237602000;0;"01:31:32";"01:31:32";"1519";26;0;0
"N05";113358793237602000;0;"01:32:27";"01:32:27";"1520";27;0;0
"N05";113358793237602000;0;"01:33:00";"01:33:00";"1521";28;0;0
"N05";113358793237602000;0;"01:34:00";"01:34:00";"1522";29;0;0
"N05";113358793237602000;0;"01:34:55";"01:34:55";"3899";30;0;0
"N05";113358793237602000;0;"01:36:02";"01:36:02";"1529";31;0;0
"N05";113358793237602000;0;"01:37:00";"01:37:00";"1386";32;0;0
"N05";113358793237602000;0;"01:38:56";"01:38:56";"1584";33;0;0
"N05";113358793237602000;0;"01:40:11";"01:40:11";"1585";34;0;0
"N05";113358793237602000;0;"01:42:09";"01:42:09";"1586";35;0;0
"N05";113358793237602000;0;"01:43:00";"01:43:00";"1587";36;1;0
"N05";113358794237602000;0;"01:22:00";"01:22:00";"6447";1;0;0
"N05";113358794237602000;0;"01:23:15";"01:23:15";"2301";2;0;0
"N05";113358794237602000;0;"01:24:00";"01:24:00";"2595";3;0;0
"N05";113358794237602000;0;"01:25:00";"01:25:00";"2303";4;0;0
"N05";113358794237602000;0;"01:26:00";"01:26:00";"2212";5;0;0
"N05";113358794237602000;0;"01:28:00";"01:28:00";"2578";6;0;0
"N05";113358794237602000;0;"01:30:04";"01:30:04";"1063";7;0;0
"N05";113358794237602000;0;"01:32:05";"01:32:05";"1376B";8;0;0
"N05";113358794237602000;0;"01:33:11";"01:33:11";"1128";9;0;0
"N05";113358794237602000;0;"01:34:14";"01:34:14";"1129";10;0;0
"N05";113358794237602000;0;"01:35:38";"01:35:38";"6355";11;0;0
"N05";113358794237602000;0;"01:37:00";"01:37:00";"6356";12;0;0
"N05";113358794237602000;0;"01:37:36";"01:37:36";"3353";13;0;0
"N05";113358794237602000;0;"01:38:33";"01:38:33";"3354";14;0;0
"N05";113358794237602000;0;"01:39:00";"01:39:00";"1508";15;0;0
"N05";113358794237602000;0;"01:40:08";"01:40:08";"1509";16;0;0
"N05";113358794237602000;0;"01:40:55";"01:40:55";"1510";17;0;0
"N05";113358794237602000;0;"01:43:00";"01:43:00";"1273";18;0;0
"N05";113358794237602000;0;"01:44:04";"01:44:04";"1402B";19;0;0
"N05";113358794237602000;0;"01:45:27";"01:45:27";"1419";20;0;0
"N05";113358794237602000;0;"01:46:02";"01:46:02";"1403";21;0;0
"N05";113358794237602000;0;"01:47:18";"01:47:18";"3251";22;0;0
"N05";113358794237602000;0;"01:48:11";"01:48:11";"1516";23;0;0
"N05";113358794237602000;0;"01:49:00";"01:49:00";"6451";24;0;0
"N05";113358794237602000;0;"01:50:18";"01:50:18";"1518";25;0;0
"N05";113358794237602000;0;"01:51:32";"01:51:32";"1519";26;0;0
"N05";113358794237602000;0;"01:52:27";"01:52:27";"1520";27;0;0
"N05";113358794237602000;0;"01:53:00";"01:53:00";"1521";28;0;0
"N05";113358794237602000;0;"01:54:00";"01:54:00";"1522";29;0;0
"N05";113358794237602000;0;"01:54:55";"01:54:55";"3899";30;0;0
"N05";113358794237602000;0;"01:56:02";"01:56:02";"1529";31;0;0
"N05";113358794237602000;0;"01:57:00";"01:57:00";"1386";32;0;0
"N05";113358794237602000;0;"01:58:56";"01:58:56";"1584";33;0;0
"N05";113358794237602000;0;"02:00:11";"02:00:11";"1585";34;0;0
"N05";113358794237602000;0;"02:02:09";"02:02:09";"1586";35;0;0
"N05";113358794237602000;0;"02:03:00";"02:03:00";"1587";36;1;0
"N05";113358795237602000;0;"01:42:00";"01:42:00";"6447";1;0;0
"N05";113358795237602000;0;"01:43:15";"01:43:15";"2301";2;0;0
"N05";113358795237602000;0;"01:44:00";"01:44:00";"2595";3;0;0
"N05";113358795237602000;0;"01:45:00";"01:45:00";"2303";4;0;0
"N05";113358795237602000;0;"01:46:00";"01:46:00";"2212";5;0;0
"N05";113358795237602000;0;"01:48:00";"01:48:00";"2578";6;0;0
"N05";113358795237602000;0;"01:50:04";"01:50:04";"1063";7;0;0
"N05";113358795237602000;0;"01:52:05";"01:52:05";"1376B";8;0;0
"N05";113358795237602000;0;"01:53:11";"01:53:11";"1128";9;0;0
"N05";113358795237602000;0;"01:54:14";"01:54:14";"1129";10;0;0
"N05";113358795237602000;0;"01:55:38";"01:55:38";"6355";11;0;0
"N05";113358795237602000;0;"01:57:00";"01:57:00";"6356";12;0;0
"N05";113358795237602000;0;"01:57:36";"01:57:36";"3353";13;0;0
"N05";113358795237602000;0;"01:58:33";"01:58:33";"3354";14;0;0
"N05";113358795237602000;0;"01:59:00";"01:59:00";"1508";15;0;0
"N05";113358795237602000;0;"02:00:08";"02:00:08";"1509";16;0;0
"N05";113358795237602000;0;"02:00:55";"02:00:55";"1510";17;0;0
"N05";113358795237602000;0;"02:03:00";"02:03:00";"1273";18;0;0
"N05";113358795237602000;0;"02:04:04";"02:04:04";"1402B";19;0;0
"N05";113358795237602000;0;"02:05:27";"02:05:27";"1419";20;0;0
"N05";113358795237602000;0;"02:06:02";"02:06:02";"1403";21;0;0
"N05";113358795237602000;0;"02:07:18";"02:07:18";"3251";22;0;0
"N05";113358795237602000;0;"02:08:11";"02:08:11";"1516";23;0;0
"N05";113358795237602000;0;"02:09:00";"02:09:00";"6451";24;0;0
"N05";113358795237602000;0;"02:10:18";"02:10:18";"1518";25;0;0
"N05";113358795237602000;0;"02:11:32";"02:11:32";"1519";26;0;0
"N05";113358795237602000;0;"02:12:27";"02:12:27";"1520";27;0;0
"N05";113358795237602000;0;"02:13:00";"02:13:00";"1521";28;0;0
"N05";113358795237602000;0;"02:14:00";"02:14:00";"1522";29;0;0
"N05";113358795237602000;0;"02:14:55";"02:14:55";"3899";30;0;0
"N05";113358795237602000;0;"02:16:02";"02:16:02";"1529";31;0;0
"N05";113358795237602000;0;"02:17:00";"02:17:00";"1386";32;0;0
"N05";113358795237602000;0;"02:18:56";"02:18:56";"1584";33;0;0
"N05";113358795237602000;0;"02:20:11";"02:20:11";"1585";34;0;0
"N05";113358795237602000;0;"02:22:09";"02:22:09";"1586";35;0;0
"N05";113358795237602000;0;"02:23:00";"02:23:00";"1587";36;1;0
"N05";113358796237602000;0;"02:02:00";"02:02:00";"6447";1;0;0
"N05";113358796237602000;0;"02:03:15";"02:03:15";"2301";2;0;0
"N05";113358796237602000;0;"02:04:00";"02:04:00";"2595";3;0;0
"N05";113358796237602000;0;"02:05:00";"02:05:00";"2303";4;0;0
"N05";113358796237602000;0;"02:06:00";"02:06:00";"2212";5;0;0
