Code_Ligne,Variante,succession,stop_id,descr_fr,descr_nl,alpha_fr,alpha_nl,coord_x,coord_y,mode,numero_lig,terminus,Distance
012b,"1","1",9600B,BRUSSELS AIRPORT,BRUSSELS AIRPORT,Brussels Airport,Brussels Airport,157950.00000000000,176429.00000000000,B,"12",BRUSSELS CITY,0.068
012b,"1","2","3017",BOURGET,BOURGET,Bourget,Bourget,154334.00000000000,174200.00000000000,B,"12",BRUSSELS CITY,4688.579
012b,"1","3","5048",DA VINCI,DA VINCI,Da Vinci,Da Vinci,152934.00000000000,173976.00000000000,B,"12",BRUSSELS CITY,6136.930
012b,"1","4","2695",GENEVE,GENEVE,Genève,Genève,152428.00000000000,172606.00000000000,B,"12",BRUSSELS CITY,7835.960
012b,"1","5","2250",MEISER,MEISER,Meiser,Meiser,152045.00000000000,171508.00000000000,B,"12",BRUSSELS CITY,9560.304
012b,"1","6",1270B,SCHUMAN,SCHUMAN,Schuman,Schuman,151061.10000000001,170304.70000000001,B,"12",BRUSSELS CITY,11314.337
012b,"1","7",1162C,LUXEMBOURG,LUXEMBURG,Luxembourg,Luxemburg,150326.00000000000,169891.00000000000,B,"12",BRUSSELS CITY,12763.552
012b,"1","8","6432",TRONE,TROON,Trône,Troon,149829.00000000000,170014.00000000000,B,"12",BRUSSELS CITY,13297.974
012b,"1","9","1780",TRONE,TROON,Trône,Troon,149724.60000000001,170159.89999999999,B,"12",BRUSSELS CITY,13514.913
013b,"1","1","4111",ETANGS NOIRS,ZWARTE VIJVERS,Étangs Noirs,Zwarte Vijvers,147426.00000000000,171854.00000000000,B,"13",UZ-VUB,0.000
013b,"1","2","1179",AUTRIQUE,AUTRIQUE,Autrique,Autrique,147286.00000000000,172053.00000000000,B,"13",UZ-VUB,323.740
013b,"1","3","1180",VANHUFFEL,VANHUFFEL,Vanhuffel,Vanhuffel,147400.00000000000,172233.00000000000,B,"13",UZ-VUB,538.027
013b,"1","4","1183",SIMONIS,SIMONIS,Simonis,Simonis,147319.00000000000,172553.00000000000,B,"13",UZ-VUB,1060.606
013b,"1","5","4152",PARC ELISABETH,ELISABETHPARK,Parc Élisabeth,Elisabethpark,147094.00000000000,172791.00000000000,B,"13",UZ-VUB,1422.997
013b,"1","6","1303",RIETHUISEN,RIETHUISEN,Riethuisen,Riethuisen,146648.00000000000,172961.00000000000,B,"13",UZ-VUB,1902.536
013b,"1","7","2422",DELHOVE,DELHOVE,Delhove,Delhove,146287.60000000001,173191.60000000001,B,"13",UZ-VUB,2353.569
013b,"1","8","4158",NEREUS,NEREUS,Nereus,Nereus,146083.00000000000,173584.00000000000,B,"13",UZ-VUB,2802.185
013b,"1","9","4163",LOWET,LOWET,Lowet,Lowet,145878.00000000000,173765.00000000000,B,"13",UZ-VUB,3075.768
013b,"1","10","1710",CPAS GANSHOREN,OCMW GANSHOREN,CPAS Ganshoren,OCMW Ganshoren,146115.39999999999,173853.00000000000,B,"13",UZ-VUB,3363.681
013b,"1","11","9103",SQ. DU CENTENAIRE,EEUWFEESTSQUARE,Square du Centenaire,Eeuwfeestsquare,146419.00000000000,173987.00000000000,B,"13",UZ-VUB,3734.070
013b,"1","12","1065",LE ROUX,LE ROUX,Le Roux,Le Roux,146695.00000000000,174311.00000000000,B,"13",UZ-VUB,4404.606
013b,"1","13","1066",EUGENE TOUSSAINT,EUGENE TOUSSAINT,Eugène Toussaint,Eugène Toussaint,146699.00000000000,174537.00000000000,B,"13",UZ-VUB,4631.896
013b,"1","14","1067",RENIERS,RENIERS,Reniers,Reniers,146717.00000000000,174718.00000000000,B,"13",UZ-VUB,4823.972
013b,"1","15","1711",BONAVENTURE,BONAVENTURE,Bonaventure,Bonaventure,146736.70000000001,175023.79999999999,B,"13",UZ-VUB,5130.292
013b,"1","16","1599",DIELEGHEM,DIELEGEM,Dieleghem,Dielegem,146523.00000000000,175301.00000000000,B,"13",UZ-VUB,5509.010
013b,"1","17","2850",AUDREY HEPBURN,AUDREY HEPBURN,Audrey Hepburn,Audrey Hepburn,146272.00000000000,175504.00000000000,B,"13",UZ-VUB,5944.319
013b,"1","18","1328",ARBRE BALLON,DIKKE BEUK,Arbre Ballon,Dikke Beuk,146058.50000000000,175835.00000000000,B,"13",UZ-VUB,6430.453
013b,"1","19","1721",UZ-PEDIATRIE,UZ-PEDIATRIE,UZ-Pédiatrie,UZ-Pediatrie,145809.70000000001,175505.79999999999,B,"13",UZ-VUB,6902.031
013b,"1","20","1722",UZ BRUSSEL,UZ BRUSSEL,UZ Brussel,UZ Brussel,145942.00000000000,175117.00000000000,B,"13",UZ-VUB,7315.894
013b,"1","21","1727",UZ-VUB,UZ-VUB,UZ-VUB,UZ-VUB,145769.00000000000,175067.00000000000,B,"13",UZ-VUB,7540.161
014b,"1","1",4264B,HEYSEL,HEIZEL,Heysel,Heizel,147732.00000000000,176276.00000000000,B,"14",GARE DU NORD,0.023
014b,"1","2","6481",ROI BAUDOUIN,KONING BOUDEWIJN,Roi Baudouin,Koning Boudewijn,147253.00000000000,176278.00000000000,B,"14",GARE DU NORD,547.613
014b,"1","3","4228",AMETHYSTE,AMETHIST,Améthyste,Amethist,147064.00000000000,176172.00000000000,B,"14",GARE DU NORD,792.294
014b,"1","4",4205B,PALFIJN,PALFIJN,Palfijn,Palfijn,146936.79999999999,175965.70000000001,B,"14",GARE DU NORD,1164.602
014b,"1","5","4223",DE HEYN,DE HEYN,De Heyn,De Heyn,146531.00000000000,175910.00000000000,B,"14",GARE DU NORD,1579.329
014b,"1","6","1328",ARBRE BALLON,DIKKE BEUK,Arbre Ballon,Dikke Beuk,146058.50000000000,175835.00000000000,B,"14",GARE DU NORD,2170.121
014b,"1","7","1721",UZ-PEDIATRIE,UZ-PEDIATRIE,UZ-Pédiatrie,UZ-Pediatrie,145809.70000000001,175505.79999999999,B,"14",GARE DU NORD,2641.699
014b,"1","8","1722",UZ BRUSSEL,UZ BRUSSEL,UZ Brussel,UZ Brussel,145942.00000000000,175117.00000000000,B,"14",GARE DU NORD,3055.561
014b,"1","9","1368",ANCIENNE BARRIERE,OUDE AFSPANNING,Ancienne Barrière,Oude Afspanning,146475.00000000000,174971.00000000000,B,"14",GARE DU NORD,3644.189
014b,"1","10","1768",BONAVENTURE,BONAVENTURE,Bonaventure,Bonaventure,146761.29999999999,174954.79999999999,B,"14",GARE DU NORD,3930.996
014b,"1","11","2801",CROCQ,CROCQ,Crocq,Crocq,147244.00000000000,174951.00000000000,B,"14",GARE DU NORD,4414.721
014b,"1","12","2803",LORGE,LORGE,Lorge,Lorge,147335.00000000000,174722.00000000000,B,"14",GARE DU NORD,4672.380
014b,"1","13","6800",GARE DE JETTE,STATION JETTE,Gare de Jette,Station Jette,147279.00000000000,174430.00000000000,B,"14",GARE DU NORD,5062.477
014b,"1","14","2584",DEMINEURS,ONTMIJNERS,Démineurs,Ontmijners,147451.29999999999,174255.29999999999,B,"14",GARE DU NORD,5479.461
014b,"1","15","2586",VERBEYST,VERBEYST,Verbeyst,Verbeyst,147310.00000000000,174008.00000000000,B,"14",GARE DU NORD,5778.883
014b,"1","16","1775",LEOPOLD I,LEOPOLD I,Léopold I,Leopold I,147164.60000000001,173633.60000000001,B,"14",GARE DU NORD,6203.639
014b,"1","17","1782",FIRMIN LECHARLIER,FIRMIN LECHARLIER,Firmin Lecharlier,Firmin Lecharlier,147284.50000000000,173401.00000000000,B,"14",GARE DU NORD,6499.633
014b,"1","18","5009",BELGICA,BELGICA,Belgica,Belgica,147699.00000000000,173011.00000000000,B,"14",GARE DU NORD,7082.569
014b,"1","19","5011",VANDERSTICHELEN,VANDERSTICHELEN,Vanderstichelen,Vanderstichelen,147893.00000000000,172841.00000000000,B,"14",GARE DU NORD,7340.525
014b,"1","20","1019",PICARD,PICARD,Picard,Picard,148266.00000000000,172631.00000000000,B,"14",GARE DU NORD,7796.222
014b,"1","21","1351",AVENUE DU PORT,HAVENLAAN,Avenue du Port,Havenlaan,148620.39999999999,172547.00000000000,B,"14",GARE DU NORD,8227.396
014b,"1","22","1349",TOUR ET TAXIS,THURN EN TAXIS,Tour et Taxis,Thurn en Taxis,148758.00000000000,172745.00000000000,B,"14",GARE DU NORD,8506.726
014b,"1","23","1016",WILLEBROEK,WILLEBROEK,Willebroek,Willebroek,148947.00000000000,172547.00000000000,B,"14",GARE DU NORD,8862.899
014b,"1","24","1024",WTC,WTC,WTC,WTC,149057.00000000000,172310.00000000000,B,"14",GARE DU NORD,9212.942
014b,"1","25","1083",GARE DU NORD,NOORDSTATION,Gare du Nord,Noordstation,149306.00000000000,172222.00000000000,B,"14",GARE DU NORD,9478.676
017b,"1","1","4297",BEAULIEU,BEAULIEU,Beaulieu,Beaulieu,152781.00000000000,167220.00000000000,B,"17",HEILIGENBORRE,0.023
017b,"1","2","4298",MICHIELS,MICHIELS,Michiels,Michiels,152428.00000000000,167149.00000000000,B,"17",HEILIGENBORRE,491.684
017b,"1","3","4299",BRILLANT,BRILJANT,Brillant,Briljant,152276.00000000000,166815.00000000000,B,"17",HEILIGENBORRE,900.641
017b,"1","4","4310",KEYM,KEYM,Keym,Keym,152445.00000000000,166575.00000000000,B,"17",HEILIGENBORRE,1248.362
017b,"1","5","4311",VANDER ELST,VANDER ELST,Vander Elst,Vander Elst,152675.00000000000,166084.00000000000,B,"17",HEILIGENBORRE,1805.941
017b,"1","6","1453",CALYPSO 2000,CALYPSO 2000,Calypso 2000,Calypso 2000,152892.00000000000,165840.00000000000,B,"17",HEILIGENBORRE,2175.244
017b,"1","7","4313",LES 3 TILLEULS,DRIE LINDEN,Les Trois Tilleuls,Drie Linden,153084.00000000000,165793.00000000000,B,"17",HEILIGENBORRE,2375.009
017b,"1","8","4347",MIRAVAL,MIRAVAL,Miraval,Miraval,153221.00000000000,165483.00000000000,B,"17",HEILIGENBORRE,2747.510
017b,"1","9","4349",WIENER,WIENER,Wiener,Wiener,153547.00000000000,165343.00000000000,B,"17",HEILIGENBORRE,3179.108
017b,"1","10","4342",DIABOLO,DIABOLO,Diabolo,Diabolo,153449.00000000000,165098.00000000000,B,"17",HEILIGENBORRE,3457.222
017b,"1","11","4289",ETANGS BOITSFORT,VIJVERS BOSVOORDE,Étangs de Boitsfort,Vijvers van Bosvoorde,153507.00000000000,164850.00000000000,B,"17",HEILIGENBORRE,3712.861
017b,"1","12","4288",INTERNAT. SCHOOL,INTERNAT. SCHOOL,International School,International School,153569.00000000000,164636.00000000000,B,"17",HEILIGENBORRE,3955.711
