"LineID";"DirectionID";"DistanceFromPoint";"PointID ";"Time"
55;529;0;2902;01:05:39
55;9943;270;5762;01:05:39
55;5299;262;2901;01:05:39
55;529;284;2876;01:05:39
55;5299;46;2901;01:05:39
55;9943;201;2900;01:05:39
55;5299;43;5868;01:05:39
55;5299;0;529;01:05:39
55;529;40;5803;01:05:39
55;9943;558;536;01:05:39
55;529;63;5710;01:05:39
55;529;1;521;01:05:39
55;9943;4;5866;01:05:39
55;529;124;2902;10:07:20
55;9943;354;5762;10:07:20
55;529;284;2876;10:07:20
55;5299;113;2901;10:07:20
55;9943;46;2901;10:07:20
55;5299;0;529;10:07:20
55;529;217;5803;10:07:20
55;9943;558;536;10:07:20
55;529;63;5710;10:07:20
55;529;40;521;10:07:20
55;9943;2;5866;10:07:20
55;529;34;2903;18:53:28
55;9943;44;2786;18:53:28
55;5299;276;2901;18:53:28
55;9943;200;2901;18:53:28
55;5299;119;529;18:53:28
55;529;36;5804;18:53:28
55;9943;296;5762;18:53:28
55;529;189;5710;18:53:28
55;529;238;521;18:53:28
55;9943;193;5866;18:53:28
55;529;191;2903;03:40:49
55;9943;293;2786;03:40:49
55;5299;276;2901;03:40:49
55;9943;0;5362;03:40:49
55;5299;461;529;03:40:49
55;529;0;5805;03:40:49
55;9943;7;2786;03:40:49
55;529;333;5710;03:40:49
55;529;360;521;03:40:49
55;9943;0;5867;03:40:49
55;529;0;5872;12:14:33
55;9943;438;2786;12:14:33
55;529;1;5714;12:14:33
55;5299;276;2901;12:14:33
55;9943;76;5362;12:14:33
55;5299;0;536;12:14:33
55;529;38;5805;12:14:33
55;9943;7;2786;12:14:33
55;529;0;5711;12:14:33
55;529;360;521;12:14:33
55;9943;7;5867;12:14:33
55;529;83;5872;21:27:30
55;9943;0;5765;21:27:30
55;529;44;5714;21:27:30
55;5299;276;2901;21:27:30
55;9943;174;5362;21:27:30
55;5299;145;536;21:27:30
55;529;113;5805;21:27:30
55;9943;355;2786;21:27:30
55;529;124;5711;21:27:30
55;9943;0;529;21:27:30
55;9943;0;5868;21:27:30
55;529;83;5872;06:21:42
55;9943;228;5765;06:21:42
55;529;225;5714;06:21:42
55;5299;276;2901;06:21:42
55;9943;179;5362;06:21:42
55;5299;424;536;06:21:42
55;529;476;5805;06:21:42
55;9943;0;5765;06:21:42
55;529;124;5711;06:21:42
55;9943;0;529;06:21:42
55;529;40;5041;06:21:42
55;9943;9;5868;06:21:42
55;529;83;5872;15:39:48
55;9943;327;5765;15:39:48
55;529;225;5714;15:39:48
55;9943;179;5362;15:39:48
55;5299;577;536;15:39:48
55;529;1;5710;15:39:48
55;9943;0;5765;15:39:48
55;529;124;5711;15:39:48
55;9943;0;529;15:39:48
55;529;92;5041;15:39:48
55;9943;38;5868;15:39:48
55;529;42;5802;00:42:32
55;9943;335;5765;00:42:32
55;5299;262;2901;00:42:32
55;529;225;5714;00:42:32
55;9943;67;5039;00:42:32
55;5299;43;5868;00:42:32
55;5299;0;5762;00:42:32
55;529;44;5710;00:42:32
